Level,AbilityIndex,TimeToAfford,DPS,TotalCost
1,0,2,00,10,53,10
1,1,4,00,14,04,20
1,2,6,00,12,63,30
2,0,2,40,13,33,12
2,1,4,80,17,78,24
2,2,7,20,16,00,36
3,0,2,80,16,47,14
3,1,5,80,22,75,29
3,2,8,60,20,24,43
4,0,3,40,21,25,17
4,1,7,00,29,17,35
4,2,10,40,26,00,52
5,0,4,20,28,00,21
5,1,8,20,36,44,41
5,2,12,40,33,07,62
6,0,5,00,35,71,25
6,1,10,00,47,62,50
6,2,15,00,42,86,75
7,0,6,00,46,15,30
7,1,12,00,61,54,60
7,2,18,00,55,38,90
8,0,7,20,60,00,36
8,1,14,40,80,00,72
8,2,21,40,71,33,107
9,0,8,60,78,18,43
9,1,17,20,104,24,86
9,2,25,80,93,82,129
10,0,10,40,104,00,52
10,1,20,60,137,33,103
10,2,31,00,124,00,155
